"","Date","Survey.Number","MAE","Zone","Site","Management","Upwelling","Transect","Latitude","Longitude","Surveyor.Name","Station","Depth","Quad","Species","Abundance","Holdfast.Diameter","Stipes","Total.Length","Frondosity"
"1",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",10,"13.6",1,"Tegula spp.",0,NA,NA,NA,NA
"2",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",20,"13.4",2,"Tegula spp.",0,NA,NA,NA,NA
"3",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",30,"13",3,"Tegula spp.",35,NA,NA,NA,NA
"4",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",40,"13.4",4,"Tegula spp.",35,NA,NA,NA,NA
"5",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",50,"12.4",5,"Tegula spp.",0,NA,NA,NA,NA
"6",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",60,"11.8",6,"Tegula spp.",0,NA,NA,NA,NA
"7",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",70,"11",7,"Tegula spp.",0,NA,NA,NA,NA
"8",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",80,"12",8,"Tegula spp.",0,NA,NA,NA,NA
"9",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,-27.33779,-70.97658,"Rodrigo",90,"12.3",9,"Tegula spp.",0,NA,NA,NA,NA
"10",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,-27.33581,-70.97712,"Rodrigo",10,"12.7",1,"Tegula spp.",0,NA,NA,NA,NA
"11",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,-27.33581,-70.97712,"Rodrigo",20,"11.9",2,"Tegula spp.",0,NA,NA,NA,NA
